uid,title,company,domain,p_rnd,topic_id,topic_prob
in-619509aea805b31a|lead facilities engineer,Lead Facilities Engineer,GenScript ProBio,bio,0.6861736426750811,7,0.508829868985879
in-56715dbb38fa6d1d|manufacturing lab associate (cell biology),Manufacturing Lab Associate (Cell Biology),INFOSOFT,bio,0.8146535158157341,36,0.1308996234120381
in-e7a73f5a7468bd5a|medical laboratory scientist ii - blood bank,Medical Laboratory Scientist II - Blood Bank,Quest Diagnostics,bio,0.9655483365058891,12,1.0
li-4296186139|2026 future talent program - vaccines process r&d downstream - intern,2026 Future Talent Program - Vaccines Process R&D Downstream - Intern,Merck,bio,0.8518664042154941,57,1.0
"in-fbf7336d0aac5d67|research scientist, discovery toxicology","Research Scientist, Discovery Toxicology",Bristol Myers Squibb,bio,0.9912151892979941,10,1.0
in-cde0b6cee42ffa97|lab technician,Lab Technician,Country View Family Farms,bio,0.856346050898234,-1,0.08250285929577474
in-78cc3c6abec99e21|scientist v (doctor of veterinary medicine),Scientist V (Doctor of Veterinary Medicine),"Goldbelt, Inc.",bio,0.9154711564381911,42,1.0
in-e0b8b7a7aaf2d401|sr. quality control analyst,SR. QUALITY CONTROL ANALYST,Novitium Pharma LLC,bio,0.885387579600016,3,0.2381971702415181
"in-03a6566fb095dcc7|principal scientist, functional assays, analytical development new","Principal Scientist, Functional Assays, Analytical Development New",Legend Biotech,bio,0.9951587319374081,17,1.0
in-75c955e79a2b3af2|associate scientist,Associate Scientist,"Secant Group, LLC",bio,0.91664171218872,-1,0.07988920179811394
li-4281827235|lab technician (12 month contract),Lab Technician (12 Month Contract),Revlon,bio,0.936750868956247,40,0.08262841850793984
li-4300066977|associate scientist- microbiology data review (entry level),Associate Scientist- Microbiology Data Review (Entry Level),Eurofins BioPharma Product Testing North America,bio,0.9601093331972751,1,0.9890371531253941
"in-bb3e5f67632b267a|senior scientist, laboratory automation","Senior Scientist, Laboratory Automation",Johnson & Johnson,bio,0.9929691155751541,6,0.33716935703404904
li-4279520193|post-doc associate - schindler lab,Post-Doc Associate - Schindler Lab,Rutgers University,bio,0.9950472911198931,-1,0.05194381413494868
in-8b4d2d1a01e34f6d|postdoctoral research associate,Postdoctoral Research Associate,Princeton University,bio,0.744655549526214,-1,0.04200021188384175
in-27aa9a3a62b531c2|temporary research assistant,Temporary Research Assistant,Rutgers University,bio,0.98624571164449,8,0.20575564939005517
li-4204623914|biological materials towards multifunctional applications,Biological Materials Towards Multifunctional Applications,ORAU,bio,0.9897427956263221,9,0.054434619218538344
in-13896cea714e42a1|postdoctoral fellow,Postdoctoral Fellow,Rutgers University,bio,0.9604647358258561,8,0.08105277153266176
li-4278501265|biological technician – industry engagement,Biological Technician – Industry Engagement,Think Tank Inc.,bio,0.757465600967407,-1,0.0032813897384849017
"in-ca216935d3ac9fb3|senior scientist, in vivo pharmacology, oncology r&d gaithersburg, maryland","Senior Scientist, In Vivo Pharmacology, Oncology R&D Gaithersburg, Maryland",AstraZeneca,bio,0.8518405954043071,5,0.025256638308486904
in-337a62db4e1d9f91|research assistant ii (rickettsia disease surveillance),Research Assistant II (Rickettsia Disease Surveillance),The Henry M. Jackson Foundation for the Advancement of Military Medicine,bio,0.956271608670552,37,0.2688076020132003
"in-cf7e8fbc1ebc0b3a|senior process engineer i, ctto drug product","Senior Process Engineer I, CTTO Drug Product",Bristol Myers Squibb,bio,0.8475376764933261,54,1.0
"li-4276115548|travel cath lab technologist - $2,578 per week - 1383629","Travel Cath Lab Technologist - $2,578 per week - 1383629",Vivian Health,bio,0.9604411721229551,30,0.386679276616195
"li-4257721830|scientific leader, molecular design","Scientific Leader, Molecular Design",GSK,bio,0.895604709784189,5,0.23836306549474165
"in-a7a54ac7cd83866d|lab management specialist-onsite, collegeville, pa","Lab Management Specialist-ONSITE, Collegeville, PA",PerkinElmer,bio,0.650984386603037,36,0.0973002853498958
in-13a056e05776ad6f|lab technician - chemistry and chemical biology,Lab Technician - Chemistry and Chemical Biology,Stevens Institute of Technology,bio,0.9640239874521891,-1,0.05031597678421887
"li-4278685910|associate principal scientist, immunotoxicity","Associate Principal Scientist, Immunotoxicity",Merck,bio,0.918461223443349,-1,0.01915819818750698
in-87756b27ef904b79|associate director - precision medicine data & analytics,Associate Director - Precision Medicine Data & Analytics,GSK,bio,0.8361390431722001,5,0.10143476808764178
li-4270292767|principal investigator - entomology,Principal Investigator - Entomology,FMC Corporation,bio,0.9289700786272681,-1,0.007862429542909475
in-a1748eb8649a53bf|post-doctoral position - oncology & molecular biology & radiology imaging,Post-Doctoral Position - Oncology & molecular biology & radiology imaging,"University of Maryland, Baltimore",bio,0.914580285549163,24,1.0
li-4276868404|scientist i,Scientist I,Odyssey Systems,bio,0.9813178976376851,9,0.12239447683236643
li-4192863522|evolutionary genomics tenure track faculty position in biology department,Evolutionary Genomics Tenure Track Faculty Position in Biology Department,Penn State University,bio,0.643532857298851,18,0.27933857518666627
in-3ffa4f77f3cf512c|medical laboratory scientist i- core,Medical Laboratory Scientist I- Core,Quest Diagnostics,bio,0.980627914269765,12,0.16689737045993022
"li-4292668667|associate scientist - protein formulation, quality control & inventory","Associate Scientist - Protein Formulation, Quality Control & Inventory",Insight Global,bio,0.9574816624323521,43,1.0
"in-401b3a0066013a71|associate director, translational medicine , late stage neuroscience","Associate Director, Translational Medicine , Late Stage Neuroscience",Bristol Myers Squibb,bio,0.869770447413126,10,0.11598028999840705
in-3cf1e611470f0bc4|data scientist,Data Scientist,"Base-2 Solutions, LLC",bio,0.846589863300323,27,0.6038886682099865
li-3873999821|part-time wage payroll - department of biochemistry and molecular biology - tan lab,Part-Time Wage Payroll - Department of Biochemistry and Molecular Biology - Tan Lab,Penn State University,bio,0.5779531200726821,21,1.0
in-5df81e9f17b0dd21|research specialist - center for discovery and innovation,Research Specialist - Center for Discovery and Innovation,Hackensack Meridian Health,bio,0.940103948116302,-1,0.0035130386960157112
in-20370d619d8e12c6|research specialist a/b (department of biochemistry and biophysics),Research Specialist A/B (Department of Biochemistry and Biophysics),University of Pennsylvania,bio,0.9515289862950641,11,0.4206928394215039
